Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Nap
3/14/22 1:21,3/15/22 0:44,UTC-06:00,3/14/22 1:21,3/14/22 8:27,73,16.1,390,423,157,86,147,33,535,39,92,FALSE
3/13/22 1:25,3/14/22 1:21,UTC-06:00,3/13/22 1:25,3/13/22 9:53,87,16.1,458,508,212,101,145,50,529,48,90,FALSE
3/12/22 1:01,3/13/22 1:25,UTC-06:00,3/12/22 1:01,3/12/22 8:54,84,17.1,443,473,233,83,127,30,530,33,93,FALSE
3/11/22 0:28,3/12/22 1:01,UTC-06:00,3/11/22 0:28,3/11/22 9:46,89,16.8,494,555,215,116,163,61,552,48,91,FALSE
3/10/22 0:53,3/11/22 0:28,UTC-06:00,3/10/22 0:53,3/10/22 8:13,84,16.8,415,438,161,104,150,23,497,12,95,FALSE
3/9/22 0:50,3/10/22 0:53,UTC-06:00,3/9/22 0:50,3/9/22 9:55,96,16.2,513,544,199,105,209,31,536,45,94,FALSE
3/8/22 0:40,3/9/22 0:50,UTC-06:00,3/8/22 0:40,3/8/22 8:37,81,16.8,450,476,258,83,109,26,553,68,94,FALSE
3/7/22 1:56,3/8/22 0:40,UTC-06:00,3/7/22 1:56,3/7/22 8:59,71,16.6,406,423,173,86,147,17,573,85,97,FALSE
3/6/22 0:40,3/7/22 1:56,UTC-06:00,3/6/22 0:40,3/6/22 7:02,64,17.1,356,379,182,86,88,23,560,59,93,FALSE
3/5/22 2:32,3/6/22 0:40,UTC-06:00,3/5/22 2:32,3/5/22 9:27,75,16.8,379,412,153,92,134,33,507,12,92,FALSE
3/4/22 0:04,3/5/22 2:32,UTC-06:00,3/4/22 0:04,3/4/22 8:52,96,16.6,498,528,242,83,173,30,518,37,94,FALSE
3/3/22 0:01,3/4/22 0:04,UTC-06:00,3/3/22 0:01,3/3/22 8:16,84,16.8,456,494,202,94,160,38,546,27,93,FALSE
3/2/22 0:28,3/3/22 0:01,UTC-06:00,3/2/22 0:28,3/2/22 8:47,91,16.6,459,494,200,134,125,35,505,18,92,FALSE
2/28/22 23:56,3/2/22 0:28,UTC-06:00,2/28/22 23:56,3/1/22 8:31,94,16.5,487,515,265,90,132,28,517,27,94,FALSE
2/27/22 23:45,2/28/22 23:56,UTC-06:00,2/27/22 23:45,2/28/22 8:59,91,16.7,474,554,229,79,166,80,519,37,85,FALSE
2/27/22 0:10,2/27/22 23:45,UTC-06:00,2/27/22 0:10,2/27/22 7:59,84,17.3,420,465,223,79,118,45,501,15,90,FALSE
2/26/22 0:26,2/27/22 0:10,UTC-06:00,2/26/22 0:26,2/26/22 9:02,95,16.4,493,513,255,84,154,20,521,23,96,FALSE
2/24/22 23:59,2/26/22 0:26,UTC-06:00,2/24/22 23:59,2/25/22 8:09,90,16.9,443,480,197,100,146,37,494,12,92,FALSE
2/23/22 23:58,2/24/22 23:59,UTC-06:00,2/23/22 23:58,2/24/22 9:05,96,16.1,487,544,200,103,184,57,509,21,89,FALSE
2/22/22 23:47,2/23/22 23:58,UTC-06:00,2/22/22 23:47,2/23/22 8:25,93,16.4,478,518,210,102,166,40,513,27,92,FALSE
