Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %
5/21/22 23:46,5/23/22 0:17,UTC-05:00,80,53,75,33.6,97.17,7,2256,152,64,5/21/22 23:46,5/22/22 8:40,91,16.5,487,534,212,91,184,47,536,45,91
5/21/22 0:15,5/21/22 23:46,UTC-05:00,52,55,63,32.83,96.65,11.4,2499,167,69,5/21/22 0:15,5/21/22 9:01,85,17.1,456,516,281,89,86,60,534,47,88
5/20/22 0:21,5/21/22 0:15,UTC-05:00,93,49,85,33.7,97.35,10.5,2458,151,70,5/20/22 0:21,5/20/22 8:52,80,15.8,420,503,202,80,138,83,525,36,83
5/19/22 0:24,5/20/22 0:21,UTC-05:00,58,53,65,33,96.5,11.1,2504,161,67,5/19/22 0:24,5/19/22 9:21,88,16.6,468,529,193,133,142,61,535,39,88
5/18/22 0:20,5/19/22 0:24,UTC-05:00,74,53,69,33.6,96.11,12.6,2680,154,71,5/18/22 0:20,5/18/22 8:57,87,17,467,511,226,90,151,44,536,49,91
5/17/22 3:06,5/18/22 0:20,UTC-05:00,78,53,72,34.4,95.42,10.3,2211,155,69,5/17/22 3:06,5/17/22 10:34,79,16.5,407,446,191,99,117,39,515,27,91
5/15/22 23:09,5/17/22 3:06,UTC-05:00,86,52,75,33.1,95.95,10.9,2844,159,67,5/15/22 23:09,5/16/22 8:01,91,17.2,492,530,271,84,137,38,540,56,94
5/15/22 0:58,5/15/22 23:09,UTC-05:00,93,53,79,34.1,96.75,9.5,2231,158,70,5/15/22 0:58,5/15/22 8:15,76,17.2,413,431,176,86,151,18,545,49,96
5/14/22 2:07,5/15/22 0:58,UTC-05:00,64,56,61,34.84,95.89,12.6,2619,165,71,5/14/22 2:07,5/14/22 9:55,79,17.6,418,467,189,105,124,49,531,39,89
5/12/22 23:45,5/14/22 2:07,UTC-05:00,42,58,56,32.5,96.94,11.8,2805,159,72,5/12/22 23:45,5/13/22 8:22,87,17.8,451,515,249,93,109,64,517,36,88
5/11/22 22:55,5/12/22 23:45,UTC-05:00,50,57,55,32.76,96.94,8.4,2366,151,69,5/11/22 22:55,5/12/22 7:41,88,17.1,476,526,211,101,164,50,543,15,90
5/11/22 0:02,5/11/22 22:55,UTC-05:00,65,55,65,32.5,96.3,17.5,3537,182,78,5/11/22 0:02,5/11/22 8:40,95,17.1,472,518,182,111,179,46,496,0,91
5/9/22 22:41,5/11/22 0:02,UTC-05:00,68,55,65,32.67,97.96,12.7,2737,177,69,5/9/22 22:41,5/10/22 9:27,100,16.7,586,645,313,116,157,59,550,60,90
5/8/22 23:27,5/9/22 22:41,UTC-05:00,24,59,45,33.21,94.7,11.2,2495,147,71,5/8/22 23:27,5/9/22 6:59,80,17.3,430,452,237,95,98,22,541,48,95
5/8/22 0:04,5/8/22 23:27,UTC-05:00,25,57,52,33.6,96.79,11.9,2367,196,70,5/8/22 0:04,5/8/22 7:55,84,17.6,450,470,250,82,118,20,534,56,95
5/7/22 0:03,5/8/22 0:04,UTC-05:00,54,53,67,33.2,96.94,6.3,2151,144,66,5/7/22 0:03,5/7/22 8:03,76,17.1,433,480,175,93,165,47,573,73,91
5/6/22 1:28,5/7/22 0:03,UTC-05:00,82,50,79,34.1,96,13.4,2637,164,72,5/6/22 1:28,5/6/22 8:02,69,16.5,362,394,151,85,126,32,524,42,92
5/5/22 0:06,5/6/22 1:28,UTC-05:00,81,51,75,33.96,95.79,8.8,2438,152,66,5/5/22 0:06,5/5/22 9:11,86,16.1,513,545,218,114,181,32,593,115,94
5/4/22 1:42,5/5/22 0:06,UTC-05:00,21,57,46,34.6,96.21,6.1,1672,151,67,5/4/22 1:42,5/4/22 6:46,51,16.5,294,304,134,62,98,10,574,85,97
5/3/22 1:24,5/4/22 1:42,UTC-05:00,46,51,62,33.81,95.13,11.1,2539,178,71,5/3/22 1:24,5/3/22 7:01,64,16.4,321,337,164,69,88,16,503,15,95
5/2/22 0:43,5/3/22 1:24,UTC-05:00,60,53,67,34.6,96.9,10.9,2553,160,68,5/2/22 0:43,5/2/22 9:01,95,16.5,472,494,280,60,132,22,498,6,96
5/1/22 0:01,5/2/22 0:43,UTC-05:00,91,52,81,34.7,96.81,11.7,2646,154,66,5/1/22 0:01,5/1/22 8:52,98,16.3,492,529,220,94,178,37,501,24,93
4/30/22 1:56,5/1/22 0:01,UTC-05:00,86,52,79,34.8,96.54,5.7,1939,136,63,4/30/22 1:56,4/30/22 10:47,92,16.2,480,517,262,71,147,37,522,40,93
4/29/22 0:36,4/30/22 1:56,UTC-05:00,64,53,72,33.45,95.32,8.8,2445,151,67,4/29/22 0:36,4/29/22 9:02,83,16.3,447,501,185,97,165,54,538,47,89
4/28/22 0:08,4/29/22 0:36,UTC-05:00,57,53,69,34.18,95.73,11.5,2520,180,68,4/28/22 0:08,4/28/22 8:29,80,16.5,485,497,262,74,149,12,607,111,97
4/27/22 5:13,4/28/22 0:08,UTC-05:00,48,52,68,35.4,94.55,12.6,2203,171,71,4/27/22 5:13,4/27/22 10:01,53,16.9,267,286,116,53,98,19,502,12,94
4/26/22 0:01,4/27/22 5:13,UTC-05:00,54,54,66,33.9,96.74,11.2,2965,162,67,4/26/22 0:01,4/26/22 8:23,96,16.5,472,499,218,105,149,27,490,0,94
4/24/22 23:58,4/26/22 0:01,UTC-05:00,98,48,88,35.2,96.05,11.5,2596,147,68,4/24/22 23:58,4/25/22 9:02,100,16.7,493,543,242,84,167,50,482,6,91
4/24/22 1:14,4/24/22 23:58,UTC-05:00,94,51,81,33.8,95.95,4.3,1926,123,59,4/24/22 1:14,4/24/22 10:19,98,16.6,513,541,226,107,180,28,521,21,94
4/23/22 0:10,4/24/22 1:14,UTC-05:00,89,52,78,33.2,96.62,13.4,2924,167,72,4/23/22 0:10,4/23/22 8:44,91,17.1,459,513,162,73,224,54,503,9,89
4/22/22 1:03,4/23/22 0:10,UTC-05:00,86,53,75,34.3,96.2,12.2,2584,157,69,4/22/22 1:03,4/22/22 10:13,97,16.8,503,546,176,132,195,43,520,35,92
4/21/22 0:34,4/22/22 1:03,UTC-05:00,59,56,60,34.1,95.5,9.7,2459,154,69,4/21/22 0:34,4/21/22 8:29,85,16.6,446,475,200,74,172,29,526,12,94
4/19/22 23:52,4/21/22 0:34,UTC-05:00,81,52,73,32.8,96.55,15.6,3170,183,73,4/19/22 23:52,4/20/22 8:36,96,16.5,488,517,230,84,174,29,510,26,94
4/19/22 0:36,4/19/22 23:52,UTC-05:00,68,53,66,33.9,96.53,9.6,2347,155,69,4/19/22 0:36,4/19/22 8:36,89,16.3,442,478,170,102,170,36,494,21,93
4/8/22 0:32,4/9/22 0:32,UTC-05:00,77,54,70,34.3,95.54,10.1,2281,159,63,4/8/22 0:32,4/8/22 9:03,93,16,482,511,217,94,171,29,520,36,94
4/7/22 0:55,4/8/22 0:32,UTC-05:00,72,56,68,33.9,95.8,9.5,2351,158,72,4/7/22 0:55,4/7/22 8:43,88,16.8,437,464,203,87,147,27,499,24,94
4/6/22 12:55,4/7/22 0:55,UTC-05:00,,,,,,3,103,112,74,,,,,,,,,,,,,
4/4/22 23:58,4/5/22 23:58,UTC-05:00,57,56,58,34,95.75,11.4,2450,153,73,4/4/22 23:58,4/5/22 8:39,92,16.7,484,521,260,98,126,37,528,48,92
4/4/22 0:00,4/4/22 23:58,UTC-05:00,,,,,,7.2,1884,171,76,,,,,,,,,,,,,
4/3/22 0:00,4/4/22 0:00,UTC-05:00,95,51,84,34.7,96.15,8.8,2307,163,70,4/3/22 0:00,4/3/22 8:19,84,16.6,454,499,268,65,121,45,540,42,90
4/2/22 0:08,4/3/22 0:00,UTC-05:00,69,54,69,34.9,96.44,13,2693,177,71,4/2/22 0:08,4/2/22 8:59,86,17,471,530,228,93,150,59,545,60,89
