Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
11/7/21 23:21,11/8/21 23:56,UTC-06:00,11/8/21 9:07,11/8/21 10:10,62,Weightlifting,10.3,479,171,128,1,15,39,35,8,FALSE,,,
11/4/21 22:41,11/6/21 1:40,UTC-05:00,11/5/21 18:00,11/5/21 18:56,56,Baseball,11.1,512,163,132,0,8,42,42,7,FALSE,,,
11/4/21 1:39,11/4/21 22:41,UTC-05:00,11/4/21 12:14,11/4/21 13:40,86,Weightlifting,9.2,475,158,114,7,39,39,12,0,FALSE,,,
11/2/21 1:02,11/2/21 23:49,UTC-05:00,11/2/21 11:22,11/2/21 13:58,156,Baseball,14.2,1098,176,122,3,26,40,23,5,FALSE,,,
11/1/21 0:44,11/2/21 1:02,UTC-05:00,11/1/21 16:32,11/1/21 17:40,68,Baseball,10,442,162,119,14,27,23,30,3,FALSE,,,
11/1/21 0:44,11/2/21 1:02,UTC-05:00,11/1/21 9:08,11/1/21 10:19,70,Weightlifting,10,471,165,118,18,15,33,30,2,FALSE,,,
10/30/21 0:18,10/31/21 1:56,UTC-05:00,10/30/21 10:08,10/30/21 11:35,86,Weightlifting,9.1,474,150,115,8,30,47,13,0,FALSE,,,
10/29/21 0:27,10/30/21 0:18,UTC-05:00,10/29/21 17:06,10/29/21 18:07,60,Baseball,13.2,656,175,142,0,3,19,53,22,FALSE,,,
10/27/21 23:54,10/29/21 0:27,UTC-05:00,10/28/21 12:10,10/28/21 13:16,65,Weightlifting,9.5,444,170,121,4,23,48,21,1,FALSE,,,
10/25/21 23:52,10/27/21 0:55,UTC-05:00,10/26/21 16:41,10/26/21 17:20,39,Baseball,10,377,169,136,0,5,36,42,15,FALSE,,,
10/25/21 0:28,10/25/21 23:52,UTC-05:00,10/25/21 16:52,10/25/21 18:00,68,Baseball,9.3,445,157,121,2,27,45,24,1,FALSE,,,
10/25/21 0:28,10/25/21 23:52,UTC-05:00,10/25/21 9:01,10/25/21 10:04,62,Weightlifting,10,475,167,126,0,15,49,31,3,FALSE,,,
10/23/21 1:02,10/24/21 1:45,UTC-05:00,10/23/21 9:34,10/23/21 10:43,69,Weightlifting,10.9,552,168,128,2,10,45,33,6,FALSE,,,
10/21/21 23:33,10/23/21 1:02,UTC-05:00,10/22/21 10:25,10/22/21 11:26,60,Baseball,11.8,538,172,133,0,15,36,30,17,FALSE,,,
10/21/21 0:14,10/21/21 23:33,UTC-05:00,10/21/21 16:30,10/21/21 17:38,68,Baseball,8.7,408,153,119,0,33,48,17,0,FALSE,,,
10/21/21 0:14,10/21/21 23:33,UTC-05:00,10/21/21 12:06,10/21/21 12:54,47,Running,9.5,382,167,129,0,21,30,39,8,FALSE,,,
10/19/21 0:08,10/19/21 23:00,UTC-05:00,10/19/21 16:35,10/19/21 17:59,84,Baseball,13.6,721,176,129,4,24,27,22,20,FALSE,,,
10/19/21 0:08,10/19/21 23:00,UTC-05:00,10/19/21 13:48,10/19/21 14:36,47,Activity,5.7,154,152,110,11,20,27,6,0,FALSE,,,
10/18/21 0:00,10/19/21 0:08,UTC-05:00,10/18/21 17:18,10/18/21 17:59,41,Baseball,9.4,384,159,134,1,2,30,63,2,FALSE,,,
10/18/21 0:00,10/19/21 0:08,UTC-05:00,10/18/21 8:56,10/18/21 10:04,68,Baseball,10.3,506,169,124,0,22,46,26,3,FALSE,,,
9/7/21 23:48,9/8/21 22:51,UTC-05:00,9/8/21 17:02,9/8/21 18:12,69,Baseball,13.7,735,178,140,0,5,26,42,24,FALSE,,,
9/6/21 22:51,9/7/21 23:48,UTC-05:00,9/7/21 16:50,9/7/21 17:20,29,Baseball,8.3,250,174,131,0,21,29,25,23,FALSE,,,
9/5/21 22:19,9/6/21 22:51,UTC-05:00,9/6/21 17:15,9/6/21 18:30,74,Baseball,13.6,729,174,136,3,12,18,41,23,FALSE,,,
9/5/21 22:19,9/6/21 22:51,UTC-05:00,9/6/21 9:04,9/6/21 10:12,67,Weightlifting,10.5,491,167,124,2,31,28,29,7,FALSE,,,
9/1/21 23:28,9/2/21 22:16,UTC-05:00,9/2/21 14:00,9/2/21 14:53,52,Baseball,9.8,426,166,129,0,8,51,31,8,FALSE,,,
8/31/21 22:16,9/1/21 23:28,UTC-05:00,9/1/21 18:06,9/1/21 18:28,22,Running,8.6,197,190,133,0,31,25,15,13,FALSE,,,
8/31/21 22:16,9/1/21 23:28,UTC-05:00,9/1/21 16:58,9/1/21 17:49,50,Baseball,13.1,614,170,148,0,0,6,59,33,FALSE,,,
8/30/21 23:12,8/31/21 22:16,UTC-05:00,8/31/21 16:36,8/31/21 17:50,74,Baseball,8.4,377,160,113,15,36,25,18,0,FALSE,,,
